cgpa,internships,projects,aptitude_score,technical_skill_score,placed
6.35,1,2,79.91,6,0
8.22,0,2,30.8,3,0
7.04,3,2,58.61,8,1
5.13,3,2,94.68,11,1
5.78,1,1,37.83,0,0
8.58,1,3,66.15,6,1
8.29,3,4,85.06,5,1
5.14,2,2,95.98,7,0
6.11,3,2,82.27,4,0
6.16,1,2,80.44,0,0
8.36,0,3,87.85,0,0
5.1,0,0,61.23,8,0
5.52,2,0,86.41,9,0
9.0,3,1,30.56,5,1
5.89,0,0,94.72,9,0
8.26,3,2,61.03,4,1
6.19,1,2,68.74,0,0
5.5,0,2,47.84,5,0
6.22,2,1,81.98,5,0
8.61,1,2,35.36,2,0
9.28,2,0,91.08,12,1
9.15,1,3,87.97,7,1
6.99,0,3,45.12,13,1
8.34,2,4,86.65,0,1
6.02,2,0,85.05,0,0
6.47,1,2,74.26,5,0
9.48,2,3,56.15,9,1
5.07,1,0,49.0,12,0
5.43,1,3,46.22,0,0
6.04,1,2,52.3,5,0
5.13,1,3,93.25,0,0
5.91,0,4,35.43,13,1
7.92,1,4,88.02,12,1
7.11,3,3,54.42,5,1
9.46,2,0,66.51,2,0
9.09,3,0,85.61,13,1
6.71,0,0,91.91,13,1
6.3,3,3,54.13,7,1
6.9,2,0,62.33,12,1
7.95,3,2,59.02,5,1
6.34,0,4,30.93,12,1
8.12,1,2,50.72,10,1
7.05,3,0,62.14,12,1
7.76,0,2,58.78,0,0
7.18,0,0,80.54,4,0
6.47,2,3,56.94,7,0
9.74,2,2,64.26,2,1
8.82,3,3,60.07,11,1
5.7,1,3,81.84,5,0
9.34,0,1,90.41,4,0
7.44,3,0,67.23,5,0
9.47,0,4,85.26,9,1
9.0,0,0,50.78,0,0
7.13,1,4,67.9,6,1
5.11,1,0,54.17,8,0
6.34,3,3,58.99,1,0
7.71,1,2,81.27,9,1
8.17,1,2,91.72,4,0
6.29,3,1,38.5,9,0
5.7,1,4,74.42,3,0
9.17,2,4,70.75,5,1
9.92,0,4,38.29,5,1
7.63,0,3,44.83,10,1
5.86,0,4,51.77,1,0
6.36,0,2,41.69,1,0
5.09,3,3,47.06,3,0
9.57,0,0,48.73,0,0
5.59,0,4,53.5,8,0
7.88,0,4,82.46,13,1
6.37,0,0,70.03,13,0
7.77,2,4,99.04,12,1
8.26,0,0,59.03,6,0
9.15,2,3,82.77,11,1
6.03,3,2,91.0,6,1
5.05,1,0,77.53,2,0
5.68,0,1,58.83,10,0
9.5,1,0,82.75,11,1
9.37,1,4,44.26,2,1
7.99,3,3,52.93,0,0
8.0,1,3,68.27,2,0
8.33,2,0,70.28,2,0
5.88,1,2,31.55,3,0
9.57,1,1,96.16,3,1
7.09,1,3,78.76,2,0
6.92,0,4,64.7,9,1
7.59,0,4,95.32,11,1
5.23,2,2,60.74,7,0
5.83,2,3,98.63,7,1
8.69,0,0,65.86,12,1
5.41,2,4,38.0,12,1
8.02,0,2,83.54,0,0
6.23,3,3,77.52,6,1
6.95,1,3,84.11,10,1
6.44,1,3,96.6,1,0
6.78,2,3,84.35,0,0
8.6,0,3,72.79,2,0
6.49,0,4,90.01,3,0
7.83,2,2,77.13,12,1
7.38,0,3,58.57,5,0
8.32,3,1,91.99,9,1
9.68,1,1,45.53,13,1
8.66,2,2,80.02,4,1
6.07,2,0,91.71,13,1
5.16,0,0,81.19,3,0
6.31,2,0,78.81,7,0
7.98,3,1,82.68,10,1
5.26,0,0,62.55,11,0
7.48,0,4,91.19,13,1
7.98,0,3,44.24,3,0
6.67,0,1,38.92,12,0
8.85,3,2,49.99,9,1
5.53,0,2,67.21,11,0
5.38,2,3,65.74,12,1
8.64,3,1,87.44,1,1
7.48,1,0,58.32,2,0
8.44,1,0,63.9,5,0
7.17,2,4,30.94,7,1
6.23,2,4,58.68,7,1
9.1,3,0,75.34,10,1
9.0,1,2,31.09,8,1
8.47,1,2,49.66,6,1
6.36,1,4,44.56,12,1
7.95,1,3,32.94,1,0
6.8,1,0,63.55,7,0
5.46,0,4,42.72,6,0
9.59,2,4,82.02,7,1
5.68,0,0,89.35,11,0
9.75,1,0,68.19,2,0
7.23,3,2,98.72,6,1
